study_accession,reported_trait,efo_trait,ontology_id,ontology_uri,publication,journal,pmid,first_author,publication_year,discovery_sample_size,discovery_sample_size_numeric,replication_sample_size,replication_sample_size_numeric,ancestry_population,number_of_reported_associations,summary_statistics_available,study_design_information,appropriate_for_common_variant_pd_risk,appropriateness_reason
GCST90042681,Illnesses of mother: Parkinson's disease (UKB data field 20110_11),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,A generalized linear mixed model association tool for biobank-scale data. ,Nat Genet,34737426,Jiang L,2021,"6,877 European ancestry cases, 409,676 European ancestry controls",416553,NA,0,European,0,True,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=11842647; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Illnesses of mother: Parkinson's disease (UKB data field 20110_11)
GCST90042694,Illnesses of siblings: Parkinson's disease (UKB data field 20111_11),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,A generalized linear mixed model association tool for biobank-scale data. ,Nat Genet,34737426,Jiang L,2021,"1,976 European ancestry cases, 353,999 European ancestry controls",355975,NA,0,European,0,True,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=11842647; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Illnesses of siblings: Parkinson's disease (UKB data field 20111_11)
GCST90043734,Parkinson's disease (PheCode 332),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,A generalized linear mixed model association tool for biobank-scale data. ,Nat Genet,34737426,Jiang L,2021,"294 European ancestry cases, 456,054 European ancestry controls",456348,NA,0,European,0,True,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=11842647; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease (PheCode 332)
GCST90077741,Parkinsons disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,"Exome sequencing and analysis of 454,787 UK Biobank participants. ",Nature,34662886,Backman JD,2021,"828 European ancestry cases, 330,926 European ancestry controls",331754,NA,0,European,0,True,technology=Exome-wide sequencing; Genome-wide genotyping array; imputed=False; pooled=None; SNP count=458873; comment=UK Biobank/UK BiLEVE Axiom Array,False,not primary-eligible: no ontology-linked reported associations; trait=Parkinsons disease
GCST90077742,ICD10 G20: parkinsons disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,"Exome sequencing and analysis of 454,787 UK Biobank participants. ",Nature,34662886,Backman JD,2021,"772 European ancestry cases, 328,280 European ancestry controls",329052,NA,0,European,0,True,technology=Exome-wide sequencing; Genome-wide genotyping array; imputed=False; pooled=None; SNP count=456275; comment=UK Biobank/UK BiLEVE Axiom Array,False,not primary-eligible: no ontology-linked reported associations; trait=ICD10 G20: parkinsons disease
GCST90078254,Illnesses of father - Parkinsons disease (UKB data field 20107),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,"Exome sequencing and analysis of 454,787 UK Biobank participants. ",Nature,34662886,Backman JD,2021,"9,552 European ancestry cases, 410,045 European ancestry controls",419597,NA,0,European,0,True,technology=Exome-wide sequencing; Genome-wide genotyping array; imputed=False; pooled=None; SNP count=538492; comment=UK Biobank/UK BiLEVE Axiom Array,False,not primary-eligible: no ontology-linked reported associations; trait=Illnesses of father - Parkinsons disease (UKB data field 20107)
GCST90078270,Illnesses of mother - Parkinsons disease (UKB data field 20110),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,"Exome sequencing and analysis of 454,787 UK Biobank participants. ",Nature,34662886,Backman JD,2021,"6,625 European ancestry cases, 417,061 European ancestry controls",423686,"1,327 European ancestry cases, 115,197 European ancestry controls",116524,European,0,True,technology=Exome-wide sequencing; Genome-wide genotyping array; imputed=False; pooled=None; SNP count=542059; comment=UK Biobank/UK BiLEVE Axiom Array,False,not primary-eligible: no ontology-linked reported associations; trait=Illnesses of mother - Parkinsons disease (UKB data field 20110)
GCST90078285,Illnesses of siblings - Parkinsons disease (UKB data field 20111),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,"Exome sequencing and analysis of 454,787 UK Biobank participants. ",Nature,34662886,Backman JD,2021,"2,119 European ancestry cases, 369,613 European ancestry controls",371732,NA,0,European,0,True,technology=Exome-wide sequencing; Genome-wide genotyping array; imputed=False; pooled=None; SNP count=497474; comment=UK Biobank/UK BiLEVE Axiom Array,False,not primary-eligible: no ontology-linked reported associations; trait=Illnesses of siblings - Parkinsons disease (UKB data field 20111)
GCST90079817,ICD10 G20: Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,"Exome sequencing and analysis of 454,787 UK Biobank participants. ",Nature,34662886,Backman JD,2021,"1,827 European ancestry cases, 385,837 European ancestry controls",387664,NA,0,European,0,True,technology=Exome-wide sequencing; Genome-wide genotyping array; imputed=False; pooled=None; SNP count=510427; comment=UK Biobank/UK BiLEVE Axiom Array,False,not primary-eligible: no ontology-linked reported associations; trait=ICD10 G20: Parkinson's disease
GCST90081727,Parkinsons disease (Gene-based burden),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,"Exome sequencing and analysis of 454,787 UK Biobank participants. ",Nature,34662886,Backman JD,2021,"828 European ancestry cases, 330,926 European ancestry controls",331754,NA,0,European,0,True,technology=Exome-wide sequencing; imputed=False; pooled=None; SNP count=184201; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Parkinsons disease (Gene-based burden)
GCST90081728,ICD10 G20: parkinsons disease (Gene-based burden),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,"Exome sequencing and analysis of 454,787 UK Biobank participants. ",Nature,34662886,Backman JD,2021,"772 European ancestry cases, 328,280 European ancestry controls",329052,NA,0,European,0,True,technology=Exome-wide sequencing; imputed=False; pooled=None; SNP count=184145; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=ICD10 G20: parkinsons disease (Gene-based burden)
GCST90082240,Illnesses of father - Parkinsons disease (UKB data field 20107) (Gene-based burden),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,"Exome sequencing and analysis of 454,787 UK Biobank participants. ",Nature,34662886,Backman JD,2021,"9,552 European ancestry cases, 410,045 European ancestry controls",419597,NA,0,European,0,True,technology=Exome-wide sequencing; imputed=False; pooled=None; SNP count=185792; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Illnesses of father - Parkinsons disease (UKB data field 20107) (Gene-based burden)
GCST90082256,Illnesses of mother - Parkinsons disease (UKB data field 20110) (Gene-based burden),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,"Exome sequencing and analysis of 454,787 UK Biobank participants. ",Nature,34662886,Backman JD,2021,"6,625 European ancestry cases, 417,061 European ancestry controls",423686,NA,0,European,0,True,technology=Exome-wide sequencing; imputed=False; pooled=None; SNP count=185841; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Illnesses of mother - Parkinsons disease (UKB data field 20110) (Gene-based burden)
GCST90082271,Illnesses of siblings - Parkinsons disease (UKB data field 20111) (Gene-based burden),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,"Exome sequencing and analysis of 454,787 UK Biobank participants. ",Nature,34662886,Backman JD,2021,"2,119 European ancestry cases, 369,613 European ancestry controls",371732,NA,0,European,0,True,technology=Exome-wide sequencing; imputed=False; pooled=None; SNP count=184937; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Illnesses of siblings - Parkinsons disease (UKB data field 20111) (Gene-based burden)
GCST90083803,ICD10 G20: Parkinson's disease (Gene-based burden),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,"Exome sequencing and analysis of 454,787 UK Biobank participants. ",Nature,34662886,Backman JD,2021,"1,827 European ancestry cases, 385,837 European ancestry controls",387664,NA,0,European,0,True,technology=Exome-wide sequencing; imputed=False; pooled=None; SNP count=185339; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=ICD10 G20: Parkinson's disease (Gene-based burden)
GCST90095083,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Insights on Genetic and Environmental Factors in Parkinson's Disease from a Regional Swedish Case-Control Cohort. ,J Parkinsons Dis,34776419,Brolin K,2021,"929 Swedish ancestry cases, 935 Swedish ancestry controls",1864,NA,0,European,3,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=5445841; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 3 ontology-linked reported associations
GCST90104085,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Common X-Chromosome Variants Are Associated with Parkinson Disease Risk.,Ann Neurol,33583074,Le Guen Y,2021,"3,500 European ancestry female cases, 1,828 European ancestry female proxy cases, 297,580 European ancestry controls",302908,"535 European ancestry cases, 1,317 European ancestry controls",1852,European,0,True,technology=Exome genotyping array; Genome-wide genotyping array; Genome-wide sequencing; imputed=True; pooled=False; SNP count=1376254; comment=NeuroX Array | HumanHap550 | HumanOmni1-Quad | 610 k Quad |  1.2 M | Axiom Array | NeuroX |  660 W | Infinium OmniExpress-24 | HiSeq XTen,False,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease
GCST90104086,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Common X-Chromosome Variants Are Associated with Parkinson Disease Risk.,Ann Neurol,33583074,Le Guen Y,2021,"6,451 European ancestry male cases, 3,551 European ancestry male proxy cases, 251,229 European ancestry controls",261231,"1,027 European ancestry cases, 1,147 European ancestry controls",2174,European,2,True,technology=Exome genotyping array; Genome-wide genotyping array; Genome-wide sequencing; imputed=True; pooled=False; SNP count=1376254; comment=NeuroX Array | HumanHap550 | HumanOmni1-Quad | 610 k Quad |  1.2 M | Axiom Array | NeuroX |  660 W | Infinium OmniExpress-24 | HiSeq XTen,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 2 ontology-linked reported associations; full p-value set flagged by Catalog
GCST90104087,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Common X-Chromosome Variants Are Associated with Parkinson Disease Risk.,Ann Neurol,33583074,Le Guen Y,2021,"11,142 European ancestry cases, 5,379 European ancestry proxy cases, 547,618 European ancestry controls",564139,"1,561 European ancestry cases, 2,465 European ancestry controls",4026,European,4,True,technology=Exome genotyping array; Genome-wide genotyping array; Genome-wide sequencing; imputed=True; pooled=False; SNP count=1376254; comment=NeuroX Array | HumanHap550 | HumanOmni1-Quad | 610 k Quad |  1.2 M | Axiom Array | NeuroX |  660 W | Infinium OmniExpress-24 | HiSeq XTen,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 4 ontology-linked reported associations; full p-value set flagged by Catalog
GCST010049,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Identification of Risk Loci for Parkinson Disease in Asians and Comparison of Risk Between Asians and Europeans: A Genome-Wide Association Study.,JAMA Neurol,32310270,Foo JN,2020,"6,724 East Asian ancestry cases, 24,851 East Asian ancestry controls",31575,"57,545 European ancestry cases, 1,868,816 European ancestry controls, 988 Japanese ancestry cases, 2,521 Japanese ancestry controls",1929870,East Asian; European,10,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=5843213; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 10 ontology-linked reported associations; multiple ancestry groups
GCST010765,Parkinson's disease (time to event),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,A Fast and Accurate Method for Genome-Wide Time-to-Event Data Analysis and Its Application to UK Biobank.,Am J Hum Genet,32589924,Bi W,2020,"1,345 British ancestry cases, 281,526 British ancestry controls",282871,NA,0,European,0,True,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=24000000; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease (time to event)
GCST010990,Parkinson's disease or schizophrenia,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome-wide Association Analysis of Parkinson's Disease and Schizophrenia Reveals Shared Genetic Architecture and Identifies Novel Risk Loci.,Biol Psychiatry,32201043,Smeland OB,2020,"34,875 European ancestry schizophrenia cases, 20,184 European ancestry Parkinson's disease cases, 440,781 European ancestry controls",495840,NA,0,European,0,False,technology=Genome-wide genotyping array; imputed=False; pooled=False; SNP count=None; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease or schizophrenia
GCST010991,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome-wide Association Analysis of Parkinson's Disease and Schizophrenia Reveals Shared Genetic Architecture and Identifies Novel Risk Loci.,Biol Psychiatry,32201043,Smeland OB,2020,"20,184 European ancestry cases, 397,324 European ancestry controls",417508,NA,0,European,55,False,technology=Genome-wide genotyping array; imputed=False; pooled=False; SNP count=None; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 55 ontology-linked reported associations
GCST011037,Parkinson's disease progression (cognitive),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome-Wide Association Studies of Cognitive and Motor Progression in Parkinson's Disease.,Mov Disord,33111402,Tan MMX,2020,"2,788 individuals",2788,NA,0,Not reported,10,True,technology=Genome-wide genotyping array; Genome-wide sequencing; imputed=True; pooled=False; SNP count=5918868; comment=None,False,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease progression (cognitive)
GCST011038,Parkinson's disease progression (motor),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome-Wide Association Studies of Cognitive and Motor Progression in Parkinson's Disease.,Mov Disord,33111402,Tan MMX,2020,"2,848 individuals",2848,NA,0,Not reported,10,True,technology=Genome-wide genotyping array; Genome-wide sequencing; imputed=True; pooled=False; SNP count=5918868; comment=None,False,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease progression (motor)
GCST011039,Parkinson's disease progression (composite),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome-Wide Association Studies of Cognitive and Motor Progression in Parkinson's Disease.,Mov Disord,33111402,Tan MMX,2020,"2,755 individuals",2755,NA,0,Not reported,10,True,technology=Genome-wide sequencing; Genome-wide genotyping array; imputed=True; pooled=False; SNP count=5918868; comment=None,False,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease progression (composite)
GCST008910,Multiple traits (pleiotropy),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Bayesian meta-analysis across genome-wide association studies of diverse phenotypes.,Genet Epidemiol,30920090,Trochet H,2019,"1,787 European ancestry ankylosing spondylitis cases, 9,772 European ancestry multiple sclerosis cases, 2,178 European ancestry psoriasis cases, 2,361 European ancestry ulcerative colitis cases, 844 European ancestry large vessel ischemic stroke cases, 580 European ancestry small vessel ischemic stroke cases, 790 European ancestry cardioembolic ischemic stroke cases, 2,794 European ancestry individuals with reading score and mathematics score measurements, 1,606 European ancestry schizophrenia cases, 1,239 European ancestry psychosis cases, 1,705 European ancestry Parkinson's disease cases, 1,852 European ancestry Barrett's esophagus cases, 1,024 European ancestry individuals with metformin response measurements, 2,302 European ancestry glaucoma cases, 429 Kenyan ancestry pneumococcal bacteremia cases, 1,107 Kenyan ancestry other bacteremia cases, 357 Brazilian ancestry visceral leishmaniasis cases, 989 Indian ancestry visceral leishmaniasis cases, 23,008 European ancestry controls, 2,677 Kenyan ancestry controls, 1,613 Brazilian ancestry controls, 1,089 Indian ancestry controls",62103,NA,0,South Asian; Hispanic or Latin American; Sub-Saharan African; European,0,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=2058911; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Multiple traits (pleiotropy)
GCST009324,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,"Identification of novel risk loci, causal insights, and heritable risk for Parkinson's disease: a meta-analysis of genome-wide association studies.",Lancet Neurol,31701892,Nalls MA,2019,"15,056 European ancestry cases, 12,637 European ancestry controls",27693,"22,632 European ancestry cases, 968,735 European ancestry controls",991367,European,0,True,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=7784415; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease
GCST009325,Parkinson's disease or first degree relation to individual with Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,"Identification of novel risk loci, causal insights, and heritable risk for Parkinson's disease: a meta-analysis of genome-wide association studies.",Lancet Neurol,31701892,Nalls MA,2019,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls",482730,"22,632 European ancestry cases, 968,735 European ancestry controls",991367,European,107,True,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=7784415; comment=None,False,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease or first degree relation to individual with Parkinson's disease
GCST009373,Parkinson's disease in GBA mutation carriers,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genetic modifiers of risk and age at onset in GBA associated Parkinson's disease and Lewy body dementia.,Brain,31755958,Blauwendraat C,2019,"1,588 European ancestry cases, 7,584 European ancestry controls",9172,"up to 1,194 European ancestry cases, up to 13,901 European ancestry controls",15095,European,2,True,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=None; comment=None,False,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease in GBA mutation carriers
GCST009512,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,"The Genetic Architecture of Parkinson Disease in Spain: Characterizing Population-Specific Risk, Differential Haplotype Structures, and Providing Etiologic Insight.",Mov Disord,31660654,Bandres-Ciga S,2019,"4,639 Spanish ancestry cases, 2,949 Spanish ancestry controls",7588,NA,0,European,7,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=9911207; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 7 ontology-linked reported associations
GCST006153,Parkinsonism in frontotemporal lobe dementia,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Potential genetic modifiers of disease risk and age at onset in patients with frontotemporal lobar degeneration and GRN mutations: a genome-wide association study.,Lancet Neurol,29724592,Pottier C,2018,"184 European ancestry cases, 198 European ancestry controls",382,NA,0,European,3,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=7033776; comment=None,False,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinsonism in frontotemporal lobe dementia
GCST007198,Parkinson's disease (age at diagnosis),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Plasticity-related gene 3 (LPPR1) and age at diagnosis of Parkinson disease.,Neurol Genet,30338293,Wallen ZD,2018,"1,950 European ancestry cases",1950,726 European ancestry cases,726,European,1,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=8500000; comment=None,False,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease (age at diagnosis)
GCST90435905,Parkinson's disease (PheCode 332),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Efficiently controlling for case-control imbalance and sample relatedness in large-scale genetic association studies.,Nat Genet,30104761,Zhou W,2018,"1,127 British ancestry cases, 395,209 British ancestry controls",396336,NA,0,European,0,True,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=28000000; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease (PheCode 332)
GCST004902,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,A meta-analysis of genome-wide association studies identifies 17 new Parkinson's disease risk loci.,Nat Genet,28892059,Chang D,2017,"20,184 European ancestry cases, 397,324 European ancestry controls",417508,"5,851 European ancestry cases, 5,866 European ancestry controls",11717,European,55,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=11933700; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 55 ontology-linked reported associations
GCST003600,Parkinson's disease (pesticide exposure interaction),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome-wide gene-environment interaction analysis of pesticide exposure and risk of Parkinson's disease.,Parkinsonism Relat Disord,27545685,Biernacka JM,2016,"364 cases, 364 sibling controls",728,NA,0,Not reported,1,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=735843; comment=None,False,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease (pesticide exposure interaction)
GCST003922,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome-wide association study of Parkinson's disease in East Asians.,Hum Mol Genet,28011712,Foo JN,2016,"779 Han Chinese ancestry cases, 13,227 Han Chinese ancestry controls",14006,"5,125 Asian ancestry cases, 17,604 Asian ancestry controls",22729,East Asian; Asian unspecified,4,True,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=2402394; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 4 ontology-linked reported associations; full p-value set flagged by Catalog; multiple ancestry groups
GCST003984,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Detection and interpretation of shared genetic influences on 42 human traits.,Nat Genet,27182965,Pickrell JK,2016,"9,619 European ancestry cases, 324,522 European ancestry controls",334141,NA,0,European,25,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=12438219; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 25 ontology-linked reported associations
GCST002778,Parkinson disease and lewy body pathology,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,PARK10 is a major locus for sporadic neuropathologically confirmed Parkinson disease.,Neurology,25663231,Beecham GW,2015,"484 European ancestry cases, 1,145 European ancestry controls",1629,NA,0,European,10,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=3922209; comment=None,False,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson disease and lewy body pathology
GCST003059,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,A Pooling Genome-Wide Association Study Combining a Pathway Analysis for Typical Sporadic Parkinson's Disease in the Han Population of Chinese Mainland.,Mol Neurobiol,26227905,Hu Y,2015,"250 Han Chinese ancestry cases, 250 Han Chinese ancestry controls",500,NA,0,East Asian,22,False,technology=Genome-wide genotyping array; imputed=False; pooled=True; SNP count=862198; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 22 ontology-linked reported associations
GCST005548,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Baseline genetic associations in the Parkinson's Progression Markers Initiative (PPMI).,Mov Disord,26268663,Nalls MA,2015,"367 European ancestry typical cases, 55 European ancestry atypical cases, 165 European ancestry controls",587,NA,0,European,0,False,"technology=Targeted genotyping array; imputed=False; pooled=False; SNP count=400000; comment=ImmunoChip, NeuroX",False,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease
GCST002353,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Identification of a novel Parkinson's disease locus via stratified genome-wide association study.,BMC Genomics,24511991,Hill-Burns EM,2014,"1,565 European ancestry sproadic Parkinson's disease cases, 435 European ancestry familial Parkinson's disease cases, 1,986 European ancestry controls",3986,"1,528 European ancestry sporadic Parkinson's disease cases, 707 European ancestry familial Parkinson's disease cases, 796 European ancestry controls",3031,European,8,False,technology=Genome-wide genotyping array; imputed=False; pooled=False; SNP count=811597; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 8 ontology-linked reported associations
GCST002455,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome-wide mapping of IBD segments in an Ashkenazi PD cohort identifies associated haplotypes.,Hum Mol Genet,24842889,Vacic V,2014,"1,130 Ashkenazi Jewish cases, 2,611 Ashkenazi Jewish controls",3741,"306 Ashkenazi Jewish cases, 2,583 Ashkenazi Jewish controls",2889,Other,4,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=1069161; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 4 ontology-linked reported associations
GCST002544,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Large-scale meta-analysis of genome-wide association data identifies six new risk loci for Parkinson's disease.,Nat Genet,25064009,Nalls MA,2014,"13,708 European ancestry cases, 95,282 European ancestry controls",108990,"5,353 European ancestry cases, 5,551 European ancestry controls",10904,European,26,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=7893274; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 26 ontology-linked reported associations
GCST002077,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Parkinson disease loci in the mid-western Amish.,Hum Genet,23793441,Davis MF,2013,"31 Amish cases, 767 Amish controls",798,NA,0,European,3,False,technology=Genome-wide genotyping array; imputed=False; pooled=False; SNP count=622812; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 3 ontology-linked reported associations
GCST001430,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,"Meta-analysis of Parkinson's disease: identification of a novel locus, RIT2.",Ann Neurol,22451204,Pankratz N,2012,"4,238 European ancestry cases, 4,239 European ancestry controls",8477,"3,738 European ancestry cases, 2,111 European ancestry controls",5849,European,17,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=2500000; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 17 ontology-linked reported associations
GCST001445,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Comprehensive research synopsis and systematic meta-analyses in Parkinson's disease genetics: The PDGene database.,PLoS Genet,22438815,Lill CM,2012,"2,197 cases, 2,061 controls",4258,"Up to 98,080 European and Asian ancestry individuals ",98080,European; Asian unspecified; NR,6,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=7123920; comment=None,True,direct Parkinson case-control phenotype; variant-level genome-wide design; 6 ontology-linked reported associations; multiple ancestry groups
GCST001546,Parkinson's disease (motor and cognition),Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genomic determinants of motor and cognitive outcomes in Parkinson's disease.,Parkinsonism Relat Disord,22658654,Chung SJ,2012,443 European ancestry cases,443,NA,0,European,5,False,technology=Genome-wide genotyping array; imputed=False; pooled=False; SNP count=198345; comment=None,False,not primary-eligible: phenotype/design is not a direct common-variant Parkinson risk GWAS; trait=Parkinson's disease (motor and cognition)
GCST001617,Parkinson's disease,Parkinson disease,MONDO_0005180,http://purl.obolibrary.org/obo/MONDO_0005180,Genome wide assessment of young onset Parkinson's disease from Finland.,PLoS One,22911860,Hernandez DG,2012,"387 European ancestry cases, 496 European ancestry controls",883,NA,0,European,0,False,technology=Genome-wide genotyping array; imputed=True; pooled=False; SNP count=5854841; comment=None,False,not primary-eligible: no ontology-linked reported associations; trait=Parkinson's disease
